Date;Open;High;Low;Close;Adj Close;Volume
2013-09-06;71.205711;71.339996;69.992859;71.174286;58.521381;89881400
2013-09-09;72.14286;72.559998;71.925713;72.309998;59.455212;85171800
2013-09-10;72.314285;72.492859;69.928574;70.662857;58.100861;185798900
2013-09-11;66.715714;67.669998;66.401428;66.815712;54.937645;224674100
2013-09-12;66.928574;67.914284;66.572861;67.527145;55.522602;101012800
2013-09-13;67.048569;67.404289;66.385712;66.414284;54.607578;74708900
2013-09-16;65.85714;65.944283;63.888573;64.302856;52.87151;135926700
2013-09-17;63.994286;65.672859;63.92857;65.045715;53.4823;99845200
2013-09-18;66.168571;66.621429;65.808571;66.382858;54.581741;114215500
2013-09-19;67.242859;67.975716;67.035713;67.471428;55.476803;101135300
2013-09-20;68.285713;68.364288;66.571426;66.772858;54.902412;174825700
2013-09-23;70.871429;70.987144;68.942856;70.091431;57.631035;190526700
2013-09-24;70.697144;70.781425;69.688568;69.871429;57.450146;91086100
2013-09-25;69.885712;69.94857;68.775711;68.790001;56.560963;79239300
2013-09-26;69.428574;69.794289;69.128571;69.459999;57.111843;59305400
2013-09-27;69.111427;69.238571;68.674286;68.964287;56.704269;57010100
2013-09-30;68.178574;68.808571;67.772858;68.10714;55.999493;65039100
2013-10-01;68.349998;69.877144;68.339996;69.708572;57.316231;88470900
2013-10-02;69.375717;70.257141;69.10714;69.937141;57.504166;72296000
2013-10-03;70.072861;70.335716;68.677139;69.058571;56.781784;80688300
2013-10-04;69.122856;69.228569;68.371429;69.004288;56.737148;64717100
2013-10-07;69.508568;70.378571;69.335716;69.678574;57.291565;78073100
2013-10-08;69.991432;70.091431;68.648575;68.705711;56.491661;72729300
2013-10-09;69.234283;69.684288;68.325714;69.512856;57.155315;75431300
2013-10-10;70.188568;70.339996;69.577141;69.94857;57.513561;69650700
2013-10-11;69.57;70.548569;69.308571;70.401428;57.885921;66934700
2013-10-14;69.975716;71.082855;69.907143;70.862854;58.265316;65474500
2013-10-15;71.072861;71.714287;70.788574;71.239998;58.575417;80018400
2013-10-16;71.541428;71.790001;71.318573;71.587143;58.860844;62775300
2013-10-17;71.425713;72.111427;71.382858;72.071426;59.259037;63398300
2013-10-18;72.284286;72.751427;72.244286;72.69857;59.774693;72635500
2013-10-21;73.110001;74.900002;73.074287;74.480003;61.239429;99526700
2013-10-22;75.201431;75.492859;72.575714;74.267143;61.0644;133515900
2013-10-23;74.14286;75.095711;74.14286;74.994286;61.662289;78430800
2013-10-24;75;76.067146;74.635712;75.987144;62.478638;96191200
2013-10-25;75.902855;76.175713;75.015717;75.137146;61.779747;84448000
2013-10-28;75.577141;75.85714;74.744286;75.697144;62.240196;137610200
2013-10-29;76.610001;77.035713;73.505714;73.811432;60.689693;158951800
2013-10-30;74.230003;75.360001;73.860001;74.985718;61.655243;88540900
2013-10-31;75;75.355713;74.46714;74.671425;61.396824;68924100
2013-11-01;74.860001;74.971428;73.691429;74.290001;61.08321;68722500
2013-11-04;74.442856;75.260002;74.115715;75.25;61.872543;61156900
2013-11-05;74.940002;75.555717;74.714287;75.064285;61.719852;66303300
2013-11-06;74.878571;74.980003;74.028572;74.417145;63.779209;55843900
2013-11-07;74.225716;74.741432;73.197144;73.21286;62.747082;65655100
2013-11-08;73.511429;74.447144;73.227142;74.365715;63.735111;69829200
2013-11-11;74.284286;74.524284;73.487144;74.150002;63.550251;56863100
2013-11-12;73.952858;74.845711;73.85714;74.28714;63.667797;51069200
2013-11-13;74;74.60714;73.851425;74.375717;63.743702;49305200
2013-11-14;74.687141;75.611427;74.552856;75.451431;64.665649;70604800
2013-11-15;75.225716;75.584282;74.927139;74.998573;64.277519;79480100
2013-11-18;74.998573;75.312859;74.028572;74.089996;63.498821;61236000
2013-11-19;74.147141;74.76857;73.995712;74.221428;63.611477;52234700
2013-11-20;74.175713;74.345711;73.475716;73.571426;63.054394;48479200
2013-11-21;73.942856;74.458572;73.381432;74.44857;63.806152;65506700
2013-11-22;74.21714;74.594284;74.075714;74.257141;63.642082;55931400
2013-11-25;74.431427;75.124283;74.428574;74.82;64.124481;57327900
2013-11-26;74.874283;76.591431;74.85714;76.199997;65.307205;100345700
2013-11-27;76.615715;78;76.199997;77.994286;66.845009;90862100
2013-11-29;78.497147;79.761429;78.258568;79.438568;68.082802;79531900
2013-12-02;79.714287;80.618568;78.688568;78.747147;67.490242;118136200
2013-12-03;79.757141;80.91143;79.668571;80.902855;69.337791;112742000
2013-12-04;80.785713;81.312859;80.117142;80.714287;69.17617;94452400
2013-12-05;81.807144;82.162857;80.915718;81.128571;69.531235;111895000
2013-12-06;80.827141;80.964287;79.938568;80.002853;68.566452;86088100
2013-12-09;80.128571;81.368568;80.128571;80.918571;69.35125;80123400
2013-12-10;80.511429;81.125717;80.171425;80.792854;69.24353;69567400
2013-12-11;81;81.567146;79.955711;80.194283;68.730499;89929700
2013-12-12;80.305717;80.762856;80.004288;80.077141;68.630119;65572500
2013-12-13;80.407143;80.41143;79.095711;79.204285;67.882027;83205500
