Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Quantity
MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,TEC-PH-10000455,3
MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,OFF-BI-10003910,6
SP-20620,US-2017-162208,2017-08-27,2017-08-30,First Class,OFF-EN-10004030,1
GA-14515,CA-2014-120950,2014-11-06,2014-11-11,Standard Class,OFF-PA-10000587,6
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,OFF-PA-10000223,3
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,OFF-BI-10001036,3
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,TEC-PH-10001079,7
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,FUR-TA-10002041,4
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,TEC-MA-10003246,4
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-ST-10001321,6
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,TEC-PH-10002680,4
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-PA-10003465,5
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-PA-10001509,7
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-ST-10002743,3
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,FUR-BO-10001601,2
TH-21235,US-2014-134187,2014-11-04,2014-11-11,Standard Class,OFF-AR-10000940,1
TB-21595,US-2014-139640,2014-11-07,2014-11-11,Second Class,OFF-PA-10000304,5
TB-21595,US-2014-139640,2014-11-07,2014-11-11,Second Class,OFF-AR-10002240,4
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-PA-10003129,2
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,TEC-AC-10002253,5
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-PA-10000528,5
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-ST-10003442,5
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-EN-10000483,7
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-ST-10000464,1
DJ-13420,CA-2016-123540,2016-04-02,2016-04-06,Second Class,FUR-CH-10000847,5
EH-13990,CA-2016-124100,2016-03-31,2016-04-06,Standard Class,FUR-CH-10003817,6
DW-13540,CA-2016-149902,2016-04-01,2016-04-06,Standard Class,OFF-AR-10002956,4
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,TEC-PH-10002103,7
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,FUR-FU-10003724,4
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,OFF-ST-10000885,2
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,OFF-AR-10003732,5
EC-14050,US-2016-169369,2016-12-12,2016-12-18,Standard Class,OFF-PA-10004438,4
EC-14050,US-2016-169369,2016-12-12,2016-12-18,Standard Class,TEC-AC-10001314,5
SF-20200,CA-2017-163097,2017-08-27,2017-08-31,Standard Class,FUR-FU-10004973,8
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-BI-10004970,3
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-AP-10001293,6
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-ST-10002214,2
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-ST-10004258,3
LH-16900,CA-2014-123323,2014-11-07,2014-11-12,Standard Class,OFF-BI-10003684,7
RF-19840,CA-2014-151078,2014-11-12,2014-11-12,Same Day,OFF-ST-10001328,4
SC-20725,CA-2014-159310,2014-11-07,2014-11-12,Standard Class,OFF-BI-10000201,3
SC-20725,CA-2014-159310,2014-11-07,2014-11-12,Standard Class,OFF-SU-10004115,7
SC-20725,CA-2014-159310,2014-11-07,2014-11-12,Standard Class,FUR-CH-10002758,4
MS-17830,CA-2015-124044,2015-07-23,2015-07-26,Second Class,OFF-BI-10003460,3
AS-10240,CA-2015-143700,2015-07-26,2015-07-26,Same Day,OFF-PA-10003072,2
CS-11950,CA-2016-120796,2016-04-03,2016-04-07,Standard Class,OFF-BI-10004330,9
MY-18295,US-2016-160206,2016-04-01,2016-04-07,Standard Class,TEC-PH-10000148,1
TC-21475,CA-2016-100307,2016-12-15,2016-12-19,Standard Class,OFF-PA-10002552,3
JC-15340,CA-2016-102792,2016-12-13,2016-12-19,Standard Class,OFF-AR-10004757,3
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-BI-10000279,2
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-ST-10004507,1
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,FUR-FU-10002937,4
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-FA-10000621,6
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-PA-10001471,2
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-LA-10003190,2
SF-20065,CA-2016-130442,2016-12-16,2016-12-19,First Class,OFF-AP-10004859,3
MP-17965,CA-2016-142335,2016-12-15,2016-12-19,Standard Class,FUR-TA-10000198,3
MP-17965,CA-2016-142335,2016-12-15,2016-12-19,Standard Class,OFF-ST-10000036,3
MC-17845,CA-2016-146143,2016-12-14,2016-12-19,Standard Class,FUR-FU-10002045,6
KD-16495,US-2016-104794,2016-12-16,2016-12-19,First Class,OFF-FA-10001754,2
RW-19540,CA-2017-128041,2017-09-01,2017-09-01,Same Day,FUR-TA-10002607,4
RW-19540,CA-2017-128041,2017-09-01,2017-09-01,Same Day,OFF-AP-10001005,4
SC-20680,CA-2017-128475,2017-08-26,2017-09-01,Standard Class,TEC-AC-10000158,2
DK-12895,CA-2017-133501,2017-08-27,2017-09-01,Standard Class,OFF-PA-10004888,1
CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-ST-10004507,2
CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-BI-10002012,9
CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-LA-10004544,4
CA-12775,CA-2017-145653,2017-09-01,2017-09-01,Same Day,FUR-CH-10004875,7
SC-20305,CA-2017-146920,2017-08-28,2017-09-01,Standard Class,OFF-PA-10001461,5
SC-20305,CA-2017-146920,2017-08-28,2017-09-01,Standard Class,OFF-PA-10002479,6
DP-13000,CA-2017-157350,2017-08-26,2017-09-01,Standard Class,FUR-FU-10000222,5
AR-10405,US-2017-134481,2017-08-27,2017-09-01,Standard Class,FUR-TA-10004915,7
MG-17650,US-2017-169502,2017-08-28,2017-09-01,Standard Class,OFF-SU-10004115,3
MG-17650,US-2017-169502,2017-08-28,2017-09-01,Standard Class,OFF-AP-10001947,5
JH-15430,US-2014-137680,2014-02-24,2014-03-02,Standard Class,OFF-PA-10000174,4
JH-15430,US-2014-137680,2014-02-24,2014-03-02,Standard Class,OFF-PA-10000069,3
BF-11215,CA-2014-103219,2014-11-09,2014-11-13,Standard Class,FUR-FU-10004091,9
MZ-17515,CA-2014-128524,2014-11-11,2014-11-13,First Class,OFF-AP-10002892,1
MZ-17515,CA-2014-128524,2014-11-11,2014-11-13,First Class,OFF-BI-10003527,2
MZ-17515,CA-2014-128524,2014-11-11,2014-11-13,First Class,TEC-AC-10002718,7
MA-17560,CA-2014-140732,2014-11-11,2014-11-13,Second Class,TEC-PH-10001425,9
MA-17560,CA-2014-140732,2014-11-11,2014-11-13,Second Class,OFF-PA-10003625,4
MA-17560,CA-2014-140732,2014-11-11,2014-11-13,Second Class,OFF-AP-10001626,2
TH-21550,CA-2015-120810,2015-07-23,2015-07-27,Standard Class,FUR-FU-10002253,3
TH-21550,CA-2015-120810,2015-07-23,2015-07-27,Standard Class,OFF-AP-10002892,3
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,FUR-BO-10002213,5
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,OFF-FA-10004395,2
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,FUR-CH-10001854,2
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,OFF-PA-10004782,2
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,FUR-BO-10004690,4
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,OFF-BI-10000546,5
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,TEC-PH-10001557,2
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,FUR-BO-10002545,5
BB-10990,CA-2016-103947,2016-04-01,2016-04-08,Standard Class,OFF-AP-10002350,2
BB-10990,CA-2016-103947,2016-04-01,2016-04-08,Standard Class,OFF-FA-10003112,5
BC-11125,CA-2016-123050,2016-04-04,2016-04-08,Second Class,FUR-FU-10000723,2
BC-11125,CA-2016-123050,2016-04-04,2016-04-08,Second Class,OFF-ST-10003455,2
BC-11125,CA-2016-123050,2016-04-04,2016-04-08,Second Class,TEC-AC-10001109,3
AH-10195,CA-2016-112697,2016-12-18,2016-12-20,Second Class,OFF-SU-10000646,5
AH-10195,CA-2016-112697,2016-12-18,2016-12-20,Second Class,OFF-AP-10002684,2
AH-10195,CA-2016-112697,2016-12-18,2016-12-20,Second Class,OFF-BI-10000778,7
AY-10555,CA-2016-139934,2016-12-18,2016-12-20,First Class,TEC-PH-10001552,7
RW-19630,CA-2016-142958,2016-12-13,2016-12-20,Standard Class,OFF-BI-10001759,2
RW-19630,CA-2016-142958,2016-12-13,2016-12-20,Standard Class,FUR-TA-10000577,4
JK-16120,CA-2016-150945,2016-12-18,2016-12-20,Second Class,OFF-ST-10003716,4
CC-12670,US-2016-100419,2016-12-16,2016-12-20,Second Class,OFF-BI-10002194,3
SU-20665,CA-2017-111388,2017-09-02,2017-09-02,Same Day,FUR-CH-10003061,3
BW-11110,CA-2017-154074,2017-08-31,2017-09-02,Second Class,FUR-CH-10002331,2
BW-11110,CA-2017-154074,2017-08-31,2017-09-02,Second Class,OFF-ST-10002370,7
JS-16030,CA-2014-156545,2014-02-27,2014-03-03,First Class,OFF-AR-10003560,4
TZ-21580,CA-2014-163419,2014-11-11,2014-11-14,Second Class,OFF-AR-10000034,1
TZ-21580,CA-2014-163419,2014-11-11,2014-11-14,Second Class,TEC-PH-10000560,2
TZ-21580,CA-2014-163419,2014-11-11,2014-11-14,Second Class,FUR-CH-10000665,5
EB-13870,US-2014-126340,2014-11-08,2014-11-14,Standard Class,TEC-PH-10004447,3
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,OFF-BI-10000069,9
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,FUR-FU-10001487,3
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,TEC-AC-10003289,14
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,OFF-BI-10000069,6
CA-12775,US-2015-140200,2015-07-26,2015-07-28,First Class,FUR-TA-10002356,3
YC-21895,CA-2016-110499,2016-04-07,2016-04-09,First Class,TEC-CO-10002095,3
ES-14080,CA-2016-154998,2016-04-07,2016-04-09,First Class,OFF-PA-10004243,2
JH-16180,CA-2016-161907,2016-04-05,2016-04-09,Standard Class,OFF-SU-10000646,4
JH-16180,CA-2016-161907,2016-04-05,2016-04-09,Standard Class,TEC-PH-10000141,3
EH-14185,CA-2016-167115,2016-04-04,2016-04-09,Standard Class,OFF-BI-10004600,2
ZD-21925,CA-2016-167682,2016-04-03,2016-04-09,Standard Class,TEC-PH-10000673,4
ZD-21925,CA-2016-167682,2016-04-03,2016-04-09,Standard Class,FUR-FU-10003799,4
AB-10105,CA-2016-117121,2016-12-17,2016-12-21,Standard Class,OFF-BI-10000545,13
CL-12565,CA-2016-118129,2016-12-19,2016-12-21,Second Class,FUR-FU-10004904,5
PN-18775,CA-2016-138597,2016-12-18,2016-12-21,First Class,FUR-CH-10004997,3
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-LA-10000407,4
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-AR-10004078,4
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,FUR-TA-10002530,5
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-BI-10001670,4
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,TEC-AC-10000991,3
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,TEC-PH-10004833,3
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-PA-10003036,2
AH-10075,CA-2016-147109,2016-12-17,2016-12-21,Standard Class,TEC-AC-10002942,3
AH-10075,CA-2016-147109,2016-12-17,2016-12-21,Standard Class,OFF-PA-10001972,10
CM-12160,CA-2016-155530,2016-12-17,2016-12-21,Standard Class,FUR-TA-10004256,6
MP-18175,US-2016-127334,2016-12-15,2016-12-21,Standard Class,OFF-AP-10001205,2
MP-18175,US-2016-127334,2016-12-15,2016-12-21,Standard Class,FUR-TA-10003473,3
MD-17860,CA-2017-104024,2017-08-29,2017-09-03,Second Class,OFF-AR-10001972,7
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,FUR-TA-10000617,5
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,OFF-AR-10003856,2
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,TEC-PH-10000912,4
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,OFF-BI-10001658,5
CL-12565,CA-2014-116239,2014-03-04,2014-03-04,Same Day,OFF-ST-10001370,5
CM-11815,CA-2014-151554,2014-11-14,2014-11-15,First Class,OFF-PA-10004609,4
TS-21430,CA-2014-155796,2014-11-11,2014-11-15,Second Class,FUR-FU-10000409,2
TS-21430,CA-2014-155796,2014-11-11,2014-11-15,Second Class,FUR-BO-10002545,4
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,TEC-PH-10003505,2
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-PA-10001033,8
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-BI-10001359,5
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-PA-10003724,5
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-BI-10001267,1
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,TEC-PH-10004959,3
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-AR-10003582,3
BH-11710,US-2014-140914,2014-11-11,2014-11-15,Standard Class,FUR-CH-10003379,4
BH-11710,US-2014-140914,2014-11-11,2014-11-15,Standard Class,FUR-FU-10000175,2
YS-21880,CA-2015-154291,2015-07-25,2015-07-29,Standard Class,OFF-EN-10001335,9
YS-21880,CA-2015-154291,2015-07-25,2015-07-29,Standard Class,FUR-TA-10002041,2
RB-19795,US-2015-150161,2015-07-25,2015-07-29,Standard Class,OFF-BI-10001524,4
GM-14455,CA-2016-159695,2016-04-05,2016-04-10,Second Class,OFF-ST-10003442,7
VM-21685,US-2016-150140,2016-04-06,2016-04-10,Standard Class,TEC-PH-10002555,5
JD-16150,CA-2016-147067,2016-12-18,2016-12-22,Standard Class,FUR-FU-10000732,3
SC-20680,CA-2016-155383,2016-12-17,2016-12-22,Standard Class,OFF-ST-10001328,3
BP-11230,US-2016-116442,2016-12-15,2016-12-22,Standard Class,FUR-FU-10002364,2
RW-19540,CA-2017-101014,2017-08-29,2017-09-04,Standard Class,FUR-FU-10003374,3
LW-17215,CA-2017-102218,2017-09-02,2017-09-04,Second Class,OFF-LA-10002475,2
AW-10930,CA-2017-107321,2017-08-31,2017-09-04,Standard Class,TEC-PH-10002200,4
AW-10930,CA-2017-107321,2017-08-31,2017-09-04,Standard Class,OFF-BI-10004022,3
MH-17290,CA-2017-169327,2017-09-02,2017-09-04,Second Class,OFF-AP-10001492,5
MH-17290,CA-2017-169327,2017-09-02,2017-09-04,Second Class,OFF-BI-10004330,5
MH-17290,CA-2017-169327,2017-09-02,2017-09-04,Second Class,FUR-FU-10004188,5
RL-19615,US-2017-135062,2017-08-31,2017-09-04,Second Class,OFF-PA-10000100,7
VF-21715,CA-2014-113880,2014-03-01,2014-03-05,Standard Class,OFF-PA-10003036,3
VF-21715,CA-2014-113880,2014-03-01,2014-03-05,Standard Class,FUR-CH-10000863,6
SC-20380,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,OFF-ST-10001469,3
SC-20380,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,FUR-FU-10001095,6
SC-20380,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,OFF-FA-10004395,5
SC-20380,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,FUR-CH-10001270,6
HR-14770,US-2014-143707,2014-03-01,2014-03-05,Standard Class,TEC-PH-10003655,3
SC-20020,CA-2014-121006,2014-11-10,2014-11-16,Standard Class,OFF-ST-10004950,3
SC-20020,CA-2014-121006,2014-11-10,2014-11-16,Standard Class,FUR-CH-10004997,3
SC-20020,CA-2014-121006,2014-11-10,2014-11-16,Standard Class,OFF-AR-10001149,2
SC-20020,CA-2014-121006,2014-11-10,2014-11-16,Standard Class,OFF-PA-10002479,3
SC-20020,CA-2014-121006,2014-11-10,2014-11-16,Standard Class,OFF-PA-10000130,3
SC-20020,CA-2014-121006,2014-11-10,2014-11-16,Standard Class,OFF-ST-10001490,3
ML-17410,CA-2014-125556,2014-11-14,2014-11-16,Second Class,TEC-PH-10001079,7
ML-17410,CA-2014-125556,2014-11-14,2014-11-16,Second Class,OFF-BI-10003460,10
JA-15970,CA-2014-151295,2014-11-12,2014-11-16,Standard Class,OFF-PA-10001947,2
JA-15970,CA-2014-151295,2014-11-12,2014-11-16,Standard Class,FUR-TA-10002356,3
RD-19900,CA-2014-158372,2014-11-10,2014-11-16,Standard Class,FUR-FU-10001867,5
RD-19900,CA-2014-158372,2014-11-10,2014-11-16,Standard Class,TEC-AC-10004209,1
RD-19900,CA-2014-158372,2014-11-10,2014-11-16,Standard Class,FUR-FU-10000397,2
RD-19900,CA-2014-158372,2014-11-10,2014-11-16,Standard Class,OFF-PA-10002137,8
RD-19900,CA-2014-158372,2014-11-10,2014-11-16,Standard Class,OFF-LA-10000407,8
RD-19900,CA-2014-158372,2014-11-10,2014-11-16,Standard Class,TEC-PH-10002103,8
DB-12970,US-2014-159618,2014-11-12,2014-11-16,Standard Class,OFF-PA-10004100,7
DB-12970,US-2014-159618,2014-11-12,2014-11-16,Standard Class,OFF-SU-10000432,6
DB-12970,US-2014-159618,2014-11-12,2014-11-16,Standard Class,TEC-AC-10003832,3
DB-12970,US-2014-159618,2014-11-12,2014-11-16,Standard Class,FUR-BO-10004467,1
DB-12970,US-2014-159618,2014-11-12,2014-11-16,Standard Class,OFF-AR-10003183,1
RD-19930,CA-2015-139248,2015-07-25,2015-07-30,Standard Class,TEC-PH-10004094,5
SF-20200,CA-2016-132899,2016-04-07,2016-04-11,Standard Class,OFF-AR-10002833,2
RM-19375,US-2016-106600,2016-04-08,2016-04-11,First Class,FUR-BO-10001608,5
PK-19075,CA-2016-118332,2016-12-16,2016-12-23,Standard Class,FUR-CH-10001708,5
NS-18640,CA-2016-131639,2016-12-17,2016-12-23,Standard Class,OFF-BI-10001636,2
NS-18640,CA-2016-131639,2016-12-17,2016-12-23,Standard Class,OFF-BI-10000948,1
HG-14965,CA-2016-145919,2016-12-18,2016-12-23,Standard Class,OFF-SU-10003505,5
HG-14965,CA-2016-145919,2016-12-18,2016-12-23,Standard Class,FUR-FU-10004960,8
HG-14965,CA-2016-145919,2016-12-18,2016-12-23,Standard Class,OFF-PA-10003072,6
TN-21040,CA-2016-155446,2016-12-16,2016-12-23,Standard Class,TEC-AC-10001445,7
MC-17575,US-2016-157840,2016-12-20,2016-12-23,Second Class,OFF-PA-10003673,5
KB-16405,CA-2017-101182,2017-09-04,2017-09-05,First Class,TEC-PH-10003589,3
KB-16405,CA-2017-101182,2017-09-04,2017-09-05,First Class,OFF-PA-10001800,2
BG-11035,CA-2017-117198,2017-08-31,2017-09-05,Standard Class,TEC-AC-10003033,2
MG-17890,CA-2017-127712,2017-08-31,2017-09-05,Standard Class,OFF-SU-10002522,2
BN-11515,CA-2017-131625,2017-09-01,2017-09-05,Second Class,FUR-FU-10004960,5
MS-17770,CA-2017-132619,2017-08-31,2017-09-05,Standard Class,OFF-ST-10001511,3
AJ-10945,CA-2017-133004,2017-08-31,2017-09-05,Standard Class,OFF-AP-10002439,9
JF-15490,CA-2017-159884,2017-08-31,2017-09-05,Standard Class,OFF-ST-10000344,1
JF-15490,CA-2017-159884,2017-08-31,2017-09-05,Standard Class,OFF-FA-10000585,3
AS-10045,US-2017-147655,2017-09-04,2017-09-05,First Class,OFF-BI-10002931,7
DB-13060,CA-2014-104269,2014-03-01,2014-03-06,Second Class,FUR-CH-10004063,2
NH-18610,CA-2014-111157,2014-03-02,2014-03-06,Standard Class,TEC-AC-10004353,3
NH-18610,CA-2014-111157,2014-03-02,2014-03-06,Standard Class,OFF-PA-10000327,1
SC-20260,CA-2014-128622,2014-11-15,2014-11-17,Second Class,OFF-SU-10001574,3
DM-13345,CA-2014-164910,2014-11-12,2014-11-17,Second Class,OFF-AR-10003651,3
KN-16705,US-2014-143287,2014-11-11,2014-11-17,Standard Class,OFF-SU-10001574,2
KN-16705,US-2014-143287,2014-11-11,2014-11-17,Standard Class,OFF-PA-10004039,4
KN-16705,US-2014-143287,2014-11-11,2014-11-17,Standard Class,OFF-PA-10001776,5
RH-19495,CA-2015-124891,2015-07-31,2015-07-31,Same Day,OFF-PA-10004621,3
RH-19495,CA-2015-124891,2015-07-31,2015-07-31,Same Day,TEC-AC-10003033,7
RH-19495,CA-2015-124891,2015-07-31,2015-07-31,Same Day,FUR-TA-10002903,7
CK-12760,CA-2015-127754,2015-07-26,2015-07-31,Standard Class,FUR-CH-10003199,3
BP-11095,CA-2015-148180,2015-07-26,2015-07-31,Standard Class,OFF-BI-10000605,3
BP-11095,CA-2015-148180,2015-07-26,2015-07-31,Standard Class,OFF-AR-10002067,5
BP-11095,CA-2015-148180,2015-07-26,2015-07-31,Standard Class,OFF-BI-10003314,6
HA-14920,CA-2015-155334,2015-07-30,2015-07-31,First Class,TEC-AC-10003628,7
HA-14920,CA-2015-155334,2015-07-30,2015-07-31,First Class,FUR-FU-10003274,3
HA-14920,CA-2015-155334,2015-07-30,2015-07-31,First Class,OFF-BI-10002557,3
AS-10240,CA-2016-114405,2016-04-07,2016-04-12,Standard Class,OFF-AP-10003278,3
AS-10240,CA-2016-114405,2016-04-07,2016-04-12,Standard Class,OFF-ST-10001627,3
Dl-13600,CA-2016-120530,2016-04-07,2016-04-12,Standard Class,FUR-CH-10000454,3
LC-17140,CA-2016-130477,2016-04-08,2016-04-12,Standard Class,OFF-PA-10002947,3
LC-17140,CA-2016-130477,2016-04-08,2016-04-12,Standard Class,OFF-ST-10002583,2
LC-17140,CA-2016-130477,2016-04-08,2016-04-12,Standard Class,OFF-PA-10000019,2
ZC-21910,CA-2016-130946,2016-04-08,2016-04-12,Standard Class,OFF-BI-10004995,4
ZC-21910,CA-2016-130946,2016-04-08,2016-04-12,Standard Class,TEC-AC-10001990,9
ZC-21910,CA-2016-130946,2016-04-08,2016-04-12,Standard Class,FUR-CH-10004540,4
JR-16210,US-2016-114622,2016-04-10,2016-04-12,First Class,OFF-BI-10004716,2
GK-14620,CA-2016-101546,2016-12-18,2016-12-24,Standard Class,OFF-BI-10001359,2
BP-11050,CA-2016-108364,2016-12-19,2016-12-24,Standard Class,OFF-BI-10002012,5
